region,county,value
18001,ADAMS,35777
18003,ALLEN,379299
18005,BARTHOLOMEW,83779
18007,BENTON,8748
18009,BLACKFORD,11758
18011,BOONE,67843
18013,BROWN,15092
18015,CARROLL,20257
18017,CASS,37689
18019,CLARK,118302
18021,CLAY,26225
18023,CLINTON,32399
18025,CRAWFORD,10577
18027,DAVIESS,33351
18029,DEARBORN,49458
18031,DECATUR,26559
18033,DEKALB,43475
18035,DELAWARE,114135
18037,DUBOIS,42736
18039,ELKHART,206341
18041,FAYETTE,23102
18043,FLOYD,78522
18045,FOUNTAIN,16346
18047,FRANKLIN,22758
18049,FULTON,19974
18051,GIBSON,33659
18053,GRANT,65769
18055,GREENE,31922
18057,HAMILTON,338011
18059,HANCOCK,78168
18061,HARRISON,40515
18063,HENDRICKS,170311
18065,HENRY,47972
18067,HOWARD,82544
18069,HUNTINGTON,36520
18071,JACKSON,44231
18073,JASPER,33562
18075,JAY,20436
18077,JEFFERSON,32308
18079,JENNINGS,27735
18081,JOHNSON,158167
18083,KNOX,36594
18085,KOSCIUSKO,79456
18087,LAGRANGE,39614
18089,LAKE,485493
18091,LAPORTE,109888
18093,LAWRENCE,45370
18095,MADISON,129569
18097,MARION,964582
18099,MARSHALL,46258
18101,MARTIN,10255
18103,MIAMI,35516
18105,MONROE,148431
18107,MONTGOMERY,38338
18109,MORGAN,70489
18111,NEWTON,13984
18113,NOBLE,47744
18115,OHIO,5875
18117,ORANGE,19646
18119,OWEN,20799
18121,PARKE,16937
18123,PERRY,19169
18125,PIKE,12389
18127,PORTER,170389
18129,POSEY,25427
18131,PULASKI,12353
18133,PUTNAM,37576
18135,RANDOLPH,24665
18137,RIPLEY,28324
18139,RUSH,16581
18143,SCOTT,23873
18145,SHELBY,44729
18147,SPENCER,20277
18141,ST. JOSEPH,271826
18149,STARKE,22995
18151,STEUBEN,34594
18153,SULLIVAN,20669
18155,SWITZERLAND,10751
18157,TIPPECANOE,195732
18159,TIPTON,15148
18161,UNION,7054
18163,VANDERBURGH,181451
18165,VERMILLION,15498
18167,VIGO,107038
18169,WABASH,30996
18171,WARREN,8265
18173,WARRICK,62998
18175,WASHINGTON,28036
18177,WAYNE,65884
18179,WELLS,28296
18181,WHITE,24102
18183,WHITLEY,33964
