food,1998,2004,2006,2008,education
"Fruit, total",15.63,10.3,11.66,9.75,less_HS
"Apples, total",2.74,2.17,1.9,1.67,less_HS
Apples ,1.16,1.37,1.13,0.84,less_HS
Apple juice1,1.42,0.88,0.8,0.79,less_HS
Bananas,0.42,0.38,0.47,0.67,less_HS
Berries,0.57,0.29,0.54,0.39,less_HS
Grapes,0.69,0.34,0.44,0.38,less_HS
Melons,0.66,0.48,0.38,0.27,less_HS
"Oranges, total",5.85,3.86,4.57,3.27,less_HS
Oranges ,0.28,0.33,0.13,0.25,less_HS
Orange juice2,5.46,3.53,4.38,3.02,less_HS
Other citrus fruits,1.72,0.9,1.02,1.24,less_HS
Stone fruits,0.86,0.4,0.34,0.47,less_HS
Tropical fruits,1.1,0.64,1.05,0.7,less_HS
"Vegetables, total",59.3,53.01,51.38,50.83,less_HS
"Brassica, total",2.67,2.34,2.1,2.79,less_HS
Broccoli and cauliflower,1.23,1.17,0.79,1,less_HS
Carrots,0.99,1.05,0.55,0.68,less_HS
Celery,0.73,0.89,0.64,0.55,less_HS
Cucumbers,0.69,0.56,0.47,0.73,less_HS
Green peas,0.35,0.29,0.35,0.26,less_HS
"Leafy vegetables, total",0.15,0.22,0.25,0.21,less_HS
Lettuce,5.42,4.32,4.29,3.94,less_HS
Onions,2.61,3.19,3.1,3.14,less_HS
Peppers,2.62,3.28,2.91,3.06,less_HS
Tomatoes,9.25,9.28,8.58,8.76,less_HS
Sweet corn,1.46,1.42,1.39,1.4,less_HS
Potatoes,30.54,22.49,23.99,22.28,less_HS
Snap beans,0.76,0.73,0.84,0.89,less_HS
"Legumes, dried",1.65,1.5,2.05,1.96,less_HS
"Dairy, total",45.83,18.49,20.07,21.98,less_HS
"Fluid milk, total3",27.65,7.81,8.69,9.26,less_HS
"Fluid milk, 1-percent fat3",1.96,0.64,0.7,0.54,less_HS
"Fluid milk, 2-percent fat3",6.21,1.17,1.41,2.13,less_HS
"Fluid milk, skim3",6.14,1.49,1.69,1.78,less_HS
"Fluid milk, whole3",9.96,3.48,3.78,3.45,less_HS
Butter,1.09,0.39,0.38,0.47,less_HS
Cheese,7.12,6.03,6.22,7.19,less_HS
Yogurt,0.24,0.11,0.17,0.17,less_HS
"Dairy, other",1.79,2.18,2.43,2.51,less_HS
"Meat, poultry, and fish, total",55.84,52.52,54.29,53.39,less_HS
"Meat, total",34.2,28.59,26.77,28.3,less_HS
Beef,22.89,19.42,17.73,19.65,less_HS
Pork,9.5,8.12,8.13,7.42,less_HS
"Poultry, total",17.17,20.76,25.01,20.83,less_HS
Chicken,15.34,19.71,23.47,19.22,less_HS
Turkey,1.79,0.91,1.03,1.31,less_HS
Finfish and shellfish,4.08,3.33,3.06,4.02,less_HS
Eggs4,5.06,5.34,4.79,5.56,less_HS
"Grains, total",36.35,32.15,32.33,33.94,less_HS
Corn flour,2.62,2.61,2.58,3.12,less_HS
Oat flour,0.08,0.13,0.13,0.03,less_HS
"Rice, dried",1.84,3.23,2.96,3,less_HS
Wheat flour,31.14,24.96,25.37,26.46,less_HS
"Fat and oils, total",18.07,19.04,19.59,21.71,less_HS
Margarine,1.27,0.77,0.54,0.58,less_HS
Salad and cooking oils,6.52,8.14,9.38,12.49,less_HS
Shortening,4.79,6.35,5.37,4.07,less_HS
"Oils, other",0.77,0.13,0.23,0.14,less_HS
Caloric sweeteners,29.97,18.14,21.08,18.6,less_HS
"Nuts, total",0.84,0.99,0.59,0.3,less_HS
Peanuts,0.66,0.71,0.34,0.18,less_HS
Tree nuts,0.18,0.28,0.24,0.12,less_HS
"Fruit, total",13.12,15.63,11.31,11.42,HS
