food,1998,2004,2006,2008,gender
"Fruit, total",25.22,21.81,20.87,24.7,boys
"Apples, total",7.69,6.67,8.4,8.42,boys
Apples ,3.62,2.3,3.23,2.98,boys
Apple juice3,3.88,4.03,4.92,5.54,boys
Bananas,1.12,0.62,0.55,0.81,boys
Berries,0.46,0.67,0.36,0.79,boys
Grapes,1.58,0.95,1.19,1.51,boys
Melons,0.57,0.9,0.79,0.88,boys
"Oranges, total",8.89,7.67,5.89,7.48,boys
Oranges ,0.92,0.43,0.6,0.65,boys
Orange juice4,7.99,7.16,5.31,6.83,boys
Other citrus fruits,1.23,0.47,0.45,0.96,boys
Stone fruits,1.23,1.1,1.21,1.62,boys
Tropical fruits,1.99,1.68,1.89,1.41,boys
"Vegetables, total",60.03,59.02,59.7,55.56,boys
"Brassica, total",0.8,0.57,1.13,1.3,boys
Broccoli and cauliflower,0.39,0.27,0.48,0.72,boys
Carrots,0.72,0.55,0.85,0.79,boys
Celery,0.46,0.28,0.37,0.44,boys
Cucumbers,0.59,0.69,0.47,0.42,boys
Green peas,1.51,0.12,0.31,0.38,boys
"Leafy vegetables, total",0.23,0.19,0.23,0.15,boys
Lettuce,7.57,4.07,3.9,2.81,boys
Onions,4.95,2.16,2.45,1.85,boys
Peppers,2.42,1.43,1.63,1.68,boys
Tomatoes,29.66,12.72,13.39,13.25,boys
Sweet corn,7.51,1.11,1.26,1.37,boys
Potatoes,63.66,32.22,30.15,25.34,boys
Snap beans,2.15,0.34,0.41,0.81,boys
"Legumes, dried",5.07,1.07,1,1.11,boys
"Dairy, total",325.92,53.17,63.44,68.82,boys
"Fluid milk, total",229.34,30.72,38.21,41.94,boys
"Fluid milk, 1-percent fat5",23.76,3.7,4.75,6.1,boys
"Fluid milk, 2-percent fat5",85.16,10.37,13.67,16.75,boys
"Fluid milk, skim5",21.02,2.92,4.45,3.43,boys
"Fluid milk, whole5",89.83,10.86,11.03,11.38,boys
Butter,2.38,0.23,0.35,0.39,boys
Cheese,19.61,10.26,10.5,11,boys
Yogurt,3.08,0.31,0.7,0.68,boys
"Dairy, other",4.01,1.93,2.05,2.07,boys
"Meat, poultry, and fish, total",123.03,47.53,54.39,49.15,boys
"Meat, total",76.55,25.24,27.68,26.19,boys
Beef,45.96,17.78,19.54,18.56,boys
Pork,29.43,6.13,7.06,6.59,boys
"Poultry, total",42.35,22.16,27.19,23.02,boys
Chicken,34.35,19.79,24.77,20.86,boys
Turkey,7.75,2.31,2.04,1.63,boys
Finfish and shellfish,5.33,1.29,1.28,1.02,boys
Eggs6,16.07,2.39,3.65,3.18,boys
"Grains, total",143.58,42.15,46.21,43.11,boys
Corn flour,16.73,2.62,2.7,2.54,boys
Oat flour,4.07,0.15,0.12,0.2,boys
"Rice, dried",10.66,1.61,2.13,1.7,boys
Wheat flour,104.49,35.8,38.9,36.97,boys
"Fat and oils, total",45.89,23.28,24.31,22.92,boys
