food,1998,2004,2006,2008,population
"Fruit, total",18.26,16.87,15.71,15.97,total
"Apples, total",3.82,3.31,3.59,3.47,total
Apples ,2.03,1.48,1.60,1.38,total
Apple juice3,1.75,1.76,1.93,2.08,total
Bananas,0.74,0.59,0.59,0.69,total
Berries,0.78,0.65,0.58,0.75,total
Grapes,1.01,0.86,0.79,0.98,total
Melons,0.83,0.92,0.60,0.78,total
"Oranges, total",6.04,5.70,5.34,4.98,total
Oranges,0.48,0.33,0.31,0.27,total
Orange juice4,5.53,5.31,5.00,4.70,total
Other citrus fruits,1.69,1.73,1.23,1.74,total
Stone fruits,1.06,0.84,0.80,0.63,total
Tropical fruits,1.43,1.08,1.31,1.01,total
"Vegetables, total",64.11,70.03,65.62,60.41,total
"Brassica, total",2.47,2.75,2.60,2.62,total
Broccoli and cauliflower,1.05,1.30,1.16,1.20,total
Carrots,1.39,1.06,0.94,0.87,total
Celery,0.93,0.83,0.75,0.58,total
Cucumbers,0.71,0.76,0.67,0.84,total
Green peas,0.40,0.33,0.34,0.35,total
"Leafy vegetables, total",0.19,0.39,0.47,0.37,total
Lettuce,6.83,7.59,7.42,6.52,total
Onions,2.88,3.75,3.59,3.29,total
Peppers,2.29,3.51,3.68,3.01,total
Tomatoes,10.44,12.84,12.22,11.50,total
Sweet corn,1.77,1.38,1.46,1.27,total
Potatoes,31.10,30.42,27.78,25.26,total
Snap beans,0.82,0.97,1.03,0.90,total
"Legumes, dried",1.80,1.74,1.93,1.66,total
"Dairy, total",45.58,35.40,36.96,39.29,total
"Fluid milk, total",27.08,17.40,18.29,19.69,total
"Fluid milk, 1-percent fat5",2.13,2.00,1.91,2.15,total
"Fluid milk, 2-percent fat5",7.89,4.51,4.96,6.01,total
"Fluid milk, skim5",4.56,2.60,2.95,2.77,total
"Fluid milk, whole5",10.08,6.35,6.22,6.28,total
Butter,0.78,0.66,0.60,0.69,total
Cheese,7.45,8.81,9.10,9.47,total
Yogurt,0.48,0.62,0.47,0.70,total
"Dairy, other",1.79,3.12,3.64,3.38,total
"Meat, poultry, and fish, total",52.96,59.27,60.30,56.63,total
"Meat, total",29.82,29.99,30.41,28.28,total
Beef,19.32,19.62,20.03,18.46,total
Pork,9.31,9.26,9.60,8.98,total
"Poultry, total",19.02,25.51,27.29,24.82,total
Chicken,16.75,23.14,24.78,22.49,total
Turkey,2.10,2.25,2.13,1.96,total
Finfish and shellfish,3.93,3.92,3.27,3.58,total
Eggs6,5.20,5.55,6.00,5.41,total
"Grains, total",38.38,42.02,43.47,41.17,total
Corn flour,2.49,2.82,3.08,2.95,total
Oat flour,0.18,0.11,0.12,0.12,total
"Rice, dried",2.54,3.05,3.33,3.06,total
Wheat flour,32.03,34.23,34.99,33.31,total
"Fat and oils, total",18.67,25.97,25.88,25.70,total
Margarine,1.36,0.97,0.80,0.71,total
Salad and cooking oils,6.87,11.80,12.47,14.98,total
Shortening,4.89,7.87,6.67,4.33,total
"Oils, other",0.77,0.19,0.24,0.25,total
Caloric sweeteners,27.85,24.12,24.82,22.71,total
"Nuts, total",1.26,1.04,0.88,0.85,total
Peanuts,0.86,0.77,0.54,0.55,total
Tree nuts,0.43,0.26,0.33,0.30,total
"Fruit, total",24.61,19.37,20.45,21.70,children
"Apples, total",7.45,6.19,7.64,7.34,children
Apples ,3.40,2.11,2.64,2.55,children
Apple juice3,3.85,3.76,4.70,4.88,children
