food,1998,2004,2006,2008,education
"Fruit, total",90.8,103.81,99.84,92.76,less_HS
"Apples, total",17.97,21.07,20.07,21.82,less_HS
Apples ,10.8,12.2,12.58,10.2,less_HS
Apple juice1,7.17,9.25,8.02,11.25,less_HS
Bananas,9.66,9.79,10.84,9.66,less_HS
Berries,2.97,3.08,4.03,5.05,less_HS
Grapes,4.02,5.42,6.64,7.42,less_HS
Melons,4.39,4.99,3.63,3.74,less_HS
"Oranges, total",29.91,34.74,31.75,25.17,less_HS
Oranges ,3.16,4.65,4.7,3.32,less_HS
Orange juice2,26.83,30.65,27.47,21.92,less_HS
Other citrus fruits,6.44,5.77,4.57,4.33,less_HS
Stone fruits,6.58,7.78,5.7,6.2,less_HS
Tropical fruits,3.76,4.95,6.26,4.26,less_HS
"Vegetables, total",119,108.7,112.08,112.61,less_HS
"Brassica, total",7.44,7.03,5.26,6.94,less_HS
Broccoli and cauliflower,2.86,2.7,1.55,2.91,less_HS
Carrots,3.74,3.25,3.19,2.98,less_HS
Celery,2.16,2.11,2.05,3.25,less_HS
Cucumbers,1.31,1.39,1.39,0.98,less_HS
Green peas,1.66,1.44,1.38,1.46,less_HS
"Leafy vegetables, total",0.21,0.41,0.52,0.43,less_HS
Lettuce,6.3,7.3,6.62,7.48,less_HS
Onions,5.23,5.43,6.66,6.25,less_HS
Peppers,3.93,3.85,4.74,4.73,less_HS
Tomatoes,20.45,18.13,20.28,18.77,less_HS
Sweet corn,6.78,4.15,4.08,6.02,less_HS
Potatoes,38.3,36.97,35.37,36.36,less_HS
Snap beans,3.33,3.06,2.82,3.07,less_HS
"Legumes, dried",7.65,6.66,8.9,6.71,less_HS
"Dairy, total",156.67,143.56,145.54,153.97,less_HS
"Fluid milk, total3",108.5,95.71,94.38,99.41,less_HS
"Fluid milk, 1-percent fat3",10.12,7.04,6.94,8.78,less_HS
"Fluid milk, 2-percent fat3",34.14,35.03,28.84,36.87,less_HS
"Fluid milk, skim3",13.5,7.94,11.68,9.69,less_HS
"Fluid milk, whole3",43.2,36.38,36.49,32.95,less_HS
Butter,1.76,1.86,2.07,2.26,less_HS
Cheese,9.04,8.81,10.62,12.27,less_HS
Yogurt,1.64,2.79,3.92,4.87,less_HS
"Dairy, other",3.36,6.07,8.11,7.37,less_HS
"Meat, poultry, and fish, total",101.24,100.79,107.44,102.77,less_HS
"Meat, total",61.58,59.95,67.44,65.25,less_HS
Beef,34.31,32.04,37.84,36.06,less_HS
Pork,27.59,28.94,29.44,29.66,less_HS
"Poultry, total",34.19,30.48,33.85,30.74,less_HS
Chicken,26.03,25.61,28.36,24.75,less_HS
Turkey,8.3,4.89,5.67,6.18,less_HS
Finfish and shellfish,5.72,8.96,6.28,6.96,less_HS
Eggs4,17.18,17.8,18.02,18.6,less_HS
"Grains, total",94.23,92.94,95.26,100.15,less_HS
Corn flour,11.53,15.56,17.8,15.37,less_HS
Oat flour,2.15,2.48,2.01,2.34,less_HS
"Rice, dried",9.87,11.38,8.89,9.86,less_HS
Wheat flour,64.82,56.81,59.69,64.07,less_HS
"Fat and oils, total",30.44,37.58,39.05,43.37,less_HS
Margarine,4.36,2.19,1.73,2.05,less_HS
Salad and cooking oils,11.13,15.14,17.56,21.43,less_HS
Shortening,6.91,8.22,7.54,6.95,less_HS
"Oils, other",0.23,0.9,1.12,1.06,less_HS
Caloric sweeteners,57.98,60.37,65.18,61.12,less_HS
"Nuts, total",4.03,3.62,5.49,4.31,less_HS
Peanuts,3.1,2.61,4.07,3.12,less_HS
Tree nuts,0.89,0.99,1.44,1.2,less_HS
"Fruit, total",86.01,85.95,86.26,94.92,HS
"Apples, total",15.27,16.72,17.07,21.54,HS
Apples ,11.14,11.08,8.61,10.53,HS
Apple juice1,4.77,6.35,8.41,10.54,HS
Bananas,10.29,9.77,9.28,9.98,HS
Berries,3.01,4.07,4.44,6.37,HS
Grapes,4.12,6.53,5.82,6.89,HS
Melons,4.55,3.06,3.73,4.38,HS
"Oranges, total",28.42,28.65,29.79,26.67,HS
Oranges ,3.69,3.54,3.01,1.89,HS
Orange juice2,25.07,25.48,26.86,24.75,HS
Other citrus fruits,5.29,2.86,2.37,3.06,HS
Stone fruits,5.99,7.26,6.2,7.73,HS
Tropical fruits,3.15,2.9,2.65,3.61,HS
"Vegetables, total",122.88,115.12,116.53,121.11,HS
"Brassica, total",6.76,6.23,5.77,7.2,HS
Broccoli and cauliflower,3.13,2.78,2.23,3.61,HS
Carrots,4.21,2.83,3.53,2.7,HS
Celery,2.1,2.43,2.28,2.23,HS
Cucumbers,1.58,1.75,1.51,2.18,HS
Green peas,1.73,1.35,1.75,1.56,HS
"Leafy vegetables, total",0.27,0.54,0.61,0.59,HS
