food,1998,2004,2006,2008,gender
"Fruit, total",117.76,132.08,118.05,110.73,boys
"Apples, total",37.4,43.83,41.02,38.94,boys
Apples ,14.64,13.21,13.48,11.69,boys
Apple juice3,21.15,27.86,25.77,28.17,boys
Bananas,8.17,7.73,8.53,7.41,boys
Berries,2.85,4.69,4.5,4.39,boys
Grapes,8.41,9.6,9.11,8.39,boys
Melons,3.76,2.05,4.22,3.73,boys
"Oranges, total",40.8,44.97,35.16,30.64,boys
Oranges ,2.69,3.65,2.71,2.06,boys
Orange juice4,37.7,41.22,32.36,28.56,boys
Other citrus fruits,3.09,2.92,1.82,2.07,boys
Stone fruits,3.77,3.71,3.36,2.73,boys
Tropical fruits,5.11,8.23,7.03,7.15,boys
"Vegetables, total",91.22,88.65,76.47,71.59,boys
"Brassica, total",3.55,2.62,3,2.72,boys
Broccoli and cauliflower,1.72,1.41,1.68,1.63,boys
Carrots,3.5,2.24,2.91,2.36,boys
Celery,1.5,1.07,0.89,0.94,boys
Cucumbers,0.91,0.77,0.75,1.13,boys
Green peas,1.3,1.06,0.94,0.87,boys
"Leafy vegetables, total",0.12,0.19,0.22,0.21,boys
Lettuce,3.57,3.5,2.77,2.97,boys
Onions,3.01,3.02,2.81,2.84,boys
Peppers,1.42,1.83,1.74,2.16,boys
Tomatoes,18.34,18.71,16.55,15.4,boys
Sweet corn,5.71,4.98,3.83,3.4,boys
Potatoes,33.23,33.56,26.09,23.6,boys
Snap beans,1.66,2.11,2.04,1.64,boys
"Legumes, dried",3.74,2.75,2.51,2.43,boys
"Dairy, total",252.04,253.31,234.56,225.4,boys
"Fluid milk, total",179.91,175.75,159.57,156.63,boys
"Fluid milk, 1-percent fat5",18.84,12.49,16.58,16.79,boys
"Fluid milk, 2-percent fat5",66.66,64.19,56.81,62.47,boys
"Fluid milk, skim5",16.05,14.86,14.46,11.35,boys
"Fluid milk, whole5",71.07,66.92,55.18,49.98,boys
Butter,1.98,1.83,1.6,1.71,boys
Cheese,11.09,10.81,12.42,10.46,boys
Yogurt,2.86,5.11,6.96,5.75,boys
"Dairy, other",3,5.62,6.83,5.02,boys
"Meat, poultry, and fish, total",79.14,78.01,73.96,76.04,boys
"Meat, total",49.78,46.19,44.69,45.19,boys
Beef,28.16,28.21,25.5,25.72,boys
Pork,21.75,17.32,19.84,19.94,boys
"Poultry, total",26.74,28.86,26.73,29.06,boys
Chicken,20.44,23.83,22.13,24.32,boys
Turkey,6.08,5.09,4.81,4.93,boys
Finfish and shellfish,3.38,3.74,3.38,2.92,boys
Eggs6,12.65,12.56,11.86,12.05,boys
"Grains, total",103.92,97,94.64,95.16,boys
Corn flour,13.8,13.99,13.62,12.09,boys
Oat flour,3.76,2.21,2.45,2.5,boys
"Rice, dried",9.11,8.03,6.9,9.02,boys
Wheat flour,70.38,65.02,64.49,63.44,boys
"Fat and oils, total",28.48,36.24,35.34,34.07,boys
Margarine,3.59,1.55,1.29,1.24,boys
Salad and cooking oils,11.08,16.28,16.88,18.91,boys
Shortening,6.91,9.14,7.53,5.08,boys
"Oils, other",0.3,0.47,0.83,0.73,boys
Caloric sweeteners,71.76,69.73,65.74,60.65,boys
"Nuts, total",6.84,5.09,5.5,5.2,boys
Peanuts,5.93,4.36,4.96,4.53,boys
Tree nuts,77.51,0.6,0.65,0.74,boys
"Fruit, total",108.25,120.75,105.54,103.94,girls
"Apples, total",37.21,46.47,41.41,37.49,girls
Apples ,13.47,13.28,12.38,12.3,girls
Apple juice3,21.89,30.04,26.97,25.81,girls
Bananas,6.56,7.15,7.1,6.03,girls
Berries,2.85,4.61,4.1,5.37,girls
Grapes,8.91,8.11,10.32,8.27,girls
Melons,3.18,2.31,3.35,3.94,girls
"Oranges, total",35.27,36.62,25.35,26.25,girls
Oranges ,2.68,2.87,2.5,1.93,girls
Orange juice4,32.35,33.63,22.91,24.3,girls
Other citrus fruits,3.3,3.01,2.65,1.58,girls
Stone fruits,3.84,3.8,3.57,4.43,girls
Tropical fruits,4.77,6.78,7.21,6.36,girls
"Vegetables, total",78,76.85,70.39,64.61,girls
"Brassica, total",3.25,3.33,3.6,3.13,girls
Broccoli and cauliflower,1.75,2.06,2.07,1.74,girls
Carrots,3.06,2.54,2.27,2.27,girls
Celery,1.18,1.18,0.79,1.08,girls
Cucumbers,0.99,1.11,0.89,0.64,girls
Green peas,1.06,1.04,1.07,1.02,girls
"Leafy vegetables, total",0.11,0.24,0.28,0.17,girls
Lettuce,3.54,4.08,3.51,2.58,girls
Onions,2.34,2.57,2.46,2.55,girls
Peppers,0.8,1.65,1.68,1.49,girls
Tomatoes,15.53,13.94,13.53,12.72,girls
Sweet corn,5.2,5.41,4.45,3.4,girls
Potatoes,27.74,26.75,22.56,22.43,girls
Snap beans,1.56,1.54,1.68,1.8,girls
"Legumes, dried",2.89,2.39,2.05,2.25,girls
"Dairy, total",194.04,200.34,197.51,194.46,girls
"Fluid milk, total",137.96,135.88,134.75,131.64,girls
"Fluid milk, 1-percent fat5",14.07,15.46,14.23,14.32,girls
