food,1998,2004,2006,2008,population
"Fruit, total",108.55,109.3,106.32,103.4,total
"Apples, total",24.59,26.45,25.63,26.26,total
Apples ,13.27,12.81,12.08,11.71,total
Apple juice3,11.11,13.4,13.3,14.26,total
Bananas,10.44,9.93,9.59,9.63,total
Berries,3.74,5.03,5.61,5.86,total
Grapes,6.58,7.25,8.18,8.25,total
Melons,4.29,3.67,4.23,4.23,total
"Oranges, total",36.35,35.53,33.43,28.65,total
Oranges,3.64,3.27,3.13,2.49,total
Orange juice4,32.74,32.31,30.33,26.17,total
Other citrus fruits,6.4,4.89,3.8,4.23,total
Stone fruits,6.37,6.5,5.94,6.38,total
Tropical fruits,4.39,5.09,4.7,4.71,total
"Vegetables, total",113.27,107.88,105.13,104.86,total
"Brassica, total",6.15,6.01,6.25,6.46,total
Broccoli and cauliflower,2.94,3,3.17,3.37,total
Carrots,4.4,3.37,3.3,3.21,total
Celery,2.12,1.93,1.9,2.18,total
Cucumbers,1.36,1.47,1.51,1.43,total
Green peas,1.61,1.39,1.24,1.39,total
"Leafy vegetables, total",0.25,0.52,0.63,0.51,total
Lettuce,7.42,8.54,7.81,7.31,total
Onions,4.34,4.67,4.69,5.17,total
Peppers,3.31,3.47,3.81,4.4,total
Tomatoes,20.91,18.83,19.33,19.03,total
Sweet corn,6.53,5.7,5.79,4.96,total
Potatoes,34.76,33.34,29.47,30.15,total
Snap beans,2.67,2.71,2.74,2.86,total
"Legumes, dried",4.66,3.81,3.74,3.87,total
"Dairy, total",174.92,176.45,175.1,172.06,total
"Fluid milk, total",118.85,115.44,113.13,110.69,total
"Fluid milk, 1-percent fat5",12.98,12.95,13.31,13.44,total
"Fluid milk, 2-percent fat5",40.12,37.37,36.79,37.12,total
"Fluid milk, skim5",17.57,16.18,16.1,16.31,total
"Fluid milk, whole5",39.69,36.46,33.4,30.04,total
Butter,1.92,2.07,2.21,2.26,total
Cheese,10.57,11.54,12.38,12.3,total
Yogurt,3.57,5.44,6.96,7.37,total
"Dairy, other",3.7,7.92,8,8.38,total
"Meat, poultry, and fish, total",87,88.38,87.61,89.1,total
"Meat, total",52.22,51.4,49.72,50.6,total
Beef,29.28,28.19,27.89,28.03,total
Pork,23.07,23.46,21.84,22.65,total
"Poultry, total",29.8,30.72,30.56,32.29,total
Chicken,23.27,24.55,24.76,25.93,total
Turkey,6.69,6.29,6.18,6.72,total
Finfish and shellfish,5.16,6.11,6.65,6.17,total
Eggs6,13.11,14.4,13.71,13.56,total
"Grains, total",94.76,89.96,89.06,94.13,total
Corn flour,9.06,10.17,10.23,10.57,total
Oat flour,2.84,2.59,2.58,2.65,total
"Rice, dried",8.08,8.38,8.37,8.96,total
Wheat flour,68.69,61.32,60.12,63.44,total
"Fat and oils, total",28.71,37.27,37.53,39.33,total
Margarine,4.1,2.2,1.79,1.92,total
Salad and cooking oils,10.83,15.1,16.84,20.01,total
Shortening,6.42,8.82,7.15,5.68,total
"Oils, other",0.28,0.81,1.1,0.94,total
Caloric sweeteners,57.29,59.17,57.83,56.98,total
"Nuts, total",5.67,7.61,7.45,7.69,total
Peanuts,4.37,5.16,5.45,5.22,total
Tree nuts,74.69,2.46,2.01,2.46,total
"Fruit, total",113.1,126.52,111.89,107.4,children
"Apples, total",37.31,45.13,41.21,38.23,children
Apples ,14.06,13.24,12.94,11.99,children
Apple juice3,21.5,28.93,26.36,27.02,children
Bananas,7.39,7.44,7.82,6.73,children
Berries,2.86,4.64,4.3,4.87,children
Grapes,8.65,8.87,9.71,8.32,children
Melons,3.47,2.18,3.8,3.83,children
"Oranges, total",38.09,40.86,30.33,28.48,children
Oranges,2.68,3.27,2.61,2,children
Orange juice4,35.08,37.49,27.71,26.46,children
Other citrus fruits,3.19,2.97,2.22,1.83,children
Stone fruits,3.81,3.75,3.46,3.56,children
Tropical fruits,4.95,7.52,7.12,6.77,children
"Vegetables, total",84.75,82.84,73.47,68.16,children
"Brassica, total",3.41,2.97,3.3,2.92,children
Broccoli and cauliflower,1.74,1.73,1.87,1.69,children
Carrots,3.29,2.39,2.6,2.32,children
Celery,1.33,1.12,0.84,1.01,children
Cucumbers,0.95,0.93,0.82,0.89,children
Green peas,1.18,1.05,1.01,0.95,children
"Leafy vegetables, total",0.12,0.21,0.25,0.19,children
Lettuce,3.55,3.78,3.14,2.78,children
Onions,2.68,2.8,2.64,2.7,children
Peppers,1.11,1.75,1.71,1.83,children
Tomatoes,16.96,16.36,15.06,14.09,children
Sweet corn,5.45,5.19,4.13,3.4,children
Potatoes,30.54,30.21,24.35,23.03,children
Snap beans,1.61,1.83,1.86,1.72,children
"Legumes, dried",3.32,2.58,2.29,2.35,children
"Dairy, total",223.67,227.22,216.31,210.24,children
"Fluid milk, total",159.39,156.11,147.34,144.38,children
"Fluid milk, 1-percent fat5",16.51,13.95,15.43,15.58,children
"Fluid milk, 2-percent fat5",57.43,53.24,51.15,55.72,children
"Fluid milk, skim5",14.66,13.54,13.78,11.41,children
"Fluid milk, whole5",63.9,60.33,51.64,46.52,children
Butter,1.76,1.7,1.58,1.7,children
Cheese,9.9,10.41,11.44,10.29,children
Yogurt,2.58,5.47,6.2,6.19,children
"Dairy, other",2.84,5.58,6.2,5.72,children
"Meat, poultry, and fish, total",68.81,69.03,64.52,65.9,children
"Meat, total",42.8,39.72,37.41,37.7,children
